,year,2,4,6,7.5,8,10,12
0,1979,8.28876415275379,7.05152561888313,5.468072346958357,4.861279025139129,4.714474189215121,4.317285549798503,3.8430243715217807
1,1980,8.410285933601996,6.870058530032622,5.394669928996353,4.624352331606217,4.45593456150451,4.092592592592593,4.092592592592593
2,1981,8.396421032431393,6.874952024563423,5.362046632124351,4.680627518710419,4.521588946459413,4.019190174630588,3.981265592016887
3,1982,8.473901362502398,7.219127806563038,5.412612742275954,4.697346958357321,4.496305891383611,4.099932834388793,4.153761274227596
4,1983,8.409878142391094,6.740788716177317,4.88452312416043,4.503646133179811,4.418009978890808,4.398436000767606,4.2732440990213005
5,1984,8.241460372289387,6.919809057762426,5.453799654576856,4.5799030896181145,4.553804452120514,4.195355977739398,4.66676261753982
6,1985,8.28223949337939,7.769238150067165,5.77717808482057,4.971790443293035,4.791138936864325,4.456342352715409,4.645557474573019
7,1986,8.507340241796202,6.915323354442524,5.255205334868546,4.829879101899827,4.777274035693725,4.344607560928805,3.82997505277298
8,1987,8.4987766263673,6.627014968336211,5.229514488581846,4.804596046824026,4.731601420072923,4.382939934753407,4.0889224716944925
9,1988,7.966609096142775,6.9157311456534245,5.548407215505661,5.034590289771637,4.939167146421032,5.015424102859336,5.044785070044136
10,1989,8.252062943772787,7.23625503742084,5.74863270005757,5.203823642295144,5.064766839378238,4.778089618115524,4.746281903665323
11,1990,8.377662636729994,7.1167722126271356,5.612838226827864,4.815198618307426,4.758107848781424,4.538308386106313,4.449817693341009
12,1991,8.26919017463059,6.784014584532717,5.393446555363654,4.996665707157935,4.89227115716753,4.480809825369411,4.366220495106505
13,1992,8.27938495490309,6.875359815774323,5.239301477643446,4.703871617731721,4.624760122817118,4.440846286701209,4.2659038572251005
14,1993,8.453511801957395,6.738341968911917,5.361638840913451,4.90409710228363,4.761370178468623,4.508539627710611,4.3270725388601035
15,1994,8.179476108232585,6.856193628862023,5.515783918633659,4.983208597198234,4.8327336403761265,4.539939550949913,4.539939550949913
16,1995,8.405800230282097,6.598877374784109,5.2845663020533475,4.869027058146229,4.848637497601227,4.6757340241796195,4.848637497601227
17,1996,8.372361350988294,6.950393398579926,5.73884571099597,5.0464162348877375,4.89879581654193,4.563999232393015,4.643518518518518
18,1997,8.405800230282095,6.502638649011705,5.564311072730761,5.133275762809441,5.086379773555939,4.45756572634811,4.139488581846094
19,1998,8.077120514296679,6.607848781423911,5.225436576472844,4.820092112838226,4.801741508347726,4.542794089426213,4.382124352331605
20,1999,8.182330646708884,6.783199002110919,5.558194204567261,4.89920360775283,4.726300134331223,4.530560353099214,4.814383035885626
21,2000,8.105665899059682,6.854154672807521,5.766575513337172,5.061096718480138,4.8600556515064275,4.420456726156208,4.3470543081942035
22,2001,8.292026482440988,6.706942045672615,5.3347246209940495,5.013792938015736,5.006044905008635,4.763816925734023,4.731193628862022
23,2002,8.454327384379196,6.966705047015928,5.539435808865861,4.89838802533103,4.807450585300326,4.718959892535021,4.426573594319708
24,2003,8.482057186720398,6.885962387257723,5.499472270197657,4.787876607177125,4.5835732105162155,4.426165803108808,4.530152561888312
25,2004,8.397236614853194,7.050710036461332,5.693173095375168,4.8857464977931295,4.672471694492419,4.328295912492804,4.231649395509499
26,2005,8.222701976587986,6.766479562464018,5.422807522548454,4.928156783726731,4.779720782959124,4.570523891767415,4.578679715985415
27,2006,8.221478602955285,6.765663980042219,5.455838610631356,4.973013816925734,4.856793321819228,4.600292650163117,4.068125119938591
28,2007,8.210876031471885,7.125743619266935,5.725796392247169,5.079447322970638,4.928564574937632,4.936720399155631,4.524443484935712
29,2008,8.207613701784686,6.994434849357128,5.512521588946459,4.984024179620035,4.7442429476108225,4.433506044905008,4.945284014584533
30,2009,8.412324889656496,7.21831222414124,5.934585492227979,5.194036653233544,4.996665707157935,4.639848397620418,4.227979274611399
31,2010,8.183146229130685,6.8912636729994245,5.651578391863366,5.3375791594703506,5.240117060065246,5.0052293225868345,5.042338322778737
32,2011,8.374400307042793,6.955694684321627,5.475820379965458,4.929787948570332,4.740980617923623,4.5525810784878145,4.46409038572251
33,2012,8.178252734599884,7.224836883515639,5.6222174246785634,4.899611398963731,4.703056035309921,4.517103243139513,4.46979946267511
34,2013,8.393566493955094,6.819492419881019,5.468887929380156,5.001151410477834,4.781351947802725,4.446147572442908,4.467352715409709
35,2014,8.437607944732296,7.285597773939743,5.7164171943964694,5.021540971022836,4.819276530416427,4.728339090385722,4.615380924966416
36,2015,8.523244099021301,6.80685089234312,5.673191326041067,4.981169641143734,4.866172519669928,4.678996353866821,4.320955670696603
37,2016,8.121161965073881,6.885554596046823,5.7820715793513715,5.039891575513336,4.830286893110727,4.68633659566302,4.518326616772211
38,2017,8.444948186528496,6.810928804452121,5.523531951640759,4.90654384954903,4.66798599117252,4.67614181539052,4.766671464210323
39,2018,8.440462483208595,7.274587411245441,5.838754557666474,5.071699289963538,5.029696795240836,4.928972366148532,4.547279792746114
40,2019,8.390711955478794,6.855785837651122,5.510482632891958,5.041114949146036,4.927341201304932,4.579495298407215,4.536677221262713
41,2020,8.401722318173094,7.168969487622337,5.749448282479371,4.920000959508731,4.70346382652082,4.413932066781807,4.931826904624832
