,year,2,4,6,7.5,8,10,12
0,1979,8.521526839466668,7.2522914816,5.526730269866666,5.033607345066666,4.958220795733333,4.701906528000001,4.2321903359999995
1,1980,8.629387594666666,7.0122143168000015,5.6157180288,4.913937787733333,4.704226114133333,4.216269540266667,4.345850056533334
2,1981,8.6424616256,7.028240548266666,5.520931304533334,5.015156091733333,4.9005474496,4.545123592533334,4.636852680533333
3,1982,8.704668708266666,7.292567931733334,5.546973930666667,4.9014963712,4.8075531328,4.323286809599999,4.308842114133333
4,1983,8.626435394133333,6.8423573503999995,5.045943325866666,4.606487189333333,4.555878037333334,4.6170307626666665,4.3549175296
5,1984,8.500861435733333,7.137471968,5.549188081066666,4.855210084266667,4.7645353535999995,4.5051634495999995,4.960751253333333
6,1985,8.508452808533333,7.7602808448,5.893646621866668,5.148321422933333,4.984157986133334,4.5459670783999995,4.5715879616
7,1986,8.6411963968,7.011898009599999,5.349809109333335,4.770018011733334,4.714558815999999,4.315273693866667,3.8625326549333336
8,1987,8.752431095466667,6.800393928533334,5.389031202133334,4.9922765376000005,4.964757811199999,4.474376215466666,4.3354119189333336
9,1988,8.218715413333333,7.022757890133332,5.717358075733333,5.295087963733334,5.222442743466667,5.323450176000001,5.30605328
10,1989,8.477771010133333,7.3543532714666675,5.692686114133333,5.197665346133333,5.1003481642666655,4.968026318933332,4.7816159424
11,1990,8.609776548266668,7.211804160000001,5.736336507733334,5.087801312,5.041936768,4.757998338133333,4.8459317397333335
12,1991,8.474186195199998,7.006309915733333,5.504799637333334,5.023169207466666,4.913094301866667,4.364090438400001,4.414594154666667
13,1992,8.522475761066667,7.0170643605333325,5.4167608,4.779823534933334,4.7221501888,4.4419020096,4.2473730816
14,1993,8.627173444266667,6.855853124266667,5.437742510933333,4.967077397333334,4.8637503786666665,4.674598673066667,4.4287225429333335
15,1994,8.367696104533332,6.882633800533333,5.606966862933334,5.067663086933333,4.9369227776,4.682611788799999,4.550289943466667
16,1995,8.651107355733332,6.871563048533332,5.474434146133333,5.044678097066666,5.055116234666667,4.823157621333334,5.005350568533333
17,1996,8.570449019733333,7.090869373866667,5.8668659456,5.2566039210666675,5.119010289066666,4.848778504533334,4.686618346666667
18,1997,8.612201570133333,6.7502065194666665,5.6024331263999985,5.222337307733334,5.155701924266666,4.631053715199999,4.303781198933333
19,1998,8.364005853866667,6.823273482666667,5.366046212266667,5.013574555733334,4.9938580736,4.7363840128,4.5570378304
20,1999,8.436651074133332,6.933664695466668,5.789897860266667,5.145790965333332,4.948520708266666,4.825477207466666,4.958009924266666
21,2000,8.385409307733333,7.002197922133333,6.028182617599999,5.186383722666666,4.964230632533333,4.736911191466667,4.438000887466667
22,2001,8.521737710933333,6.832973570133333,5.546235880533334,5.218857928533334,5.208208919466666,5.056697770666667,4.779296356266667
23,2002,8.668925994666667,7.092029166933332,5.633009489066667,4.985212343466666,4.882096196266667,4.942194564266667,4.551238865066667
24,2003,8.6627052864,7.045321137066668,5.6818262336,5.012731069866666,4.881463581866667,4.651402811733333,4.713820765866667
25,2004,8.556636938666665,7.113538056533334,5.840612448000001,5.079999067733333,4.897806120533334,4.6323189440000005,4.3821199488
26,2005,8.423682478933335,6.884004465066667,5.5966341610666674,5.135036520533332,5.074410973866667,4.904237700266667,5.007881026133334
27,2006,8.4191487424,6.896129574400001,5.5433891157333335,5.141468100266667,5.0343453952,4.8461426112,4.429355157333332
28,2007,8.487576533333334,7.3029006336,5.783149973333333,5.267042058666667,5.167088983466667,5.080737117866667,4.840659953066666
29,2008,8.494429856,7.170684223999999,5.8088762922666675,5.311008759466667,5.106568872533334,4.858478591999999,4.992909151999999
30,2009,8.633815895466665,7.325780187733333,5.925804520533333,5.3389492288,5.212531784533334,4.862485149866666,4.4392661162666665
31,2010,8.475662295466668,7.146855748266667,5.848414692266666,5.471903688533334,5.427936987733332,5.335048106666666,5.314382702933334
32,2011,8.569710969600001,7.0850704085333325,5.740764808533332,5.148532294400001,5.008935383466667,4.803757446400001,4.684615067733334
33,2012,8.504657122133334,7.272640578133333,5.874879061333334,5.2389961536000005,5.044994404266667,4.798907402666667,4.771072369066666
34,2013,8.615470077866666,7.1245033728,5.689628477866667,5.139886564266667,4.9003365781333335,4.8202054208,4.830116379733334
35,2014,8.636240917333334,7.3789197973333325,5.883946534400001,5.164031347200001,4.985739522133334,4.869654779733334,4.797536738133332
36,2015,8.7367211712,6.878838114133333,5.710504753066666,5.215694856533333,5.089171976533334,4.899071349333333,4.571377090133333
37,2016,8.385198436266666,7.009578423466667,5.968611428266666,5.185329365333334,5.007881026133334,4.779823534933333,4.79205408
38,2017,8.626435394133335,6.983957540266666,5.627948573866667,5.118166803199999,4.963281710933333,4.9094040512,4.994279816533333
39,2018,8.668398816000002,7.348237998933333,5.9155772544,5.207259997866666,5.1577052032,4.963387146666666,4.643389696000001
40,2019,8.5880567872,6.9581257856,5.8225829376,5.283384597333334,5.178792349866667,4.7361731413333334,4.7361731413333334
41,2020,8.606929783466668,7.366794688,5.984743095466666,5.209368712533333,4.994701559466667,4.861219921066668,5.1306082197333325
